id,name,price,image,category,description
1,Strawberry Frozen,120 ₺,,Signature Drinks,
2,Fredo Cappuccino,120 ₺,,Signature Drinks,
3,Duble Shot Espresso,120 ₺,,Craft Coffee,
4,Cortado,120 ₺,,Craft Coffee,
5,Latte,120 ₺,,Craft Coffee,
6,Mocha,120 ₺,,Craft Coffee,
7,White Mocha,120 ₺,,Craft Coffee,
8,Americano,120 ₺,,Craft Coffee,
9,Strawberry Frappe,120 ₺,,Signature Drinks,
10,Chocolate Frappe,120 ₺,,Signature Drinks,
11,Caramel Frappe,120 ₺,,Signature Drinks,
13,Kiwi Mojito,120 ₺,,Signature Drinks,
14,Rasberry Mojito,120 ₺,,Signature Drinks,
15,Mojito,120 ₺,,Signature Drinks,
16,Dose X,120 ₺,,Signature Drinks,
17,Red Bull Mojito,120 ₺,,Energy Infusions,
18,Hyper Dose,120 ₺,,Signature Drinks,
19,Strawberry Dose,120 ₺,,Energy Infusions,
20,Lime Dose,120 ₺,,Energy Infusions,
21,Purple Dose,120 ₺,,Signature Drinks,
22,Espresso,120 ₺,,Craft Coffee,
23,Crepe,120 ₺,,Sweet Pairings,
24,Blueberry Dose ,120 ₺,,Energy Infusions,
25,Rasberry Dose,120 ₺,,Energy Infusions,
26,Oreo Milkshake,120 ₺,,Signature Drinks,
27,Mango Milkshake,120 ₺,,Signature Drinks,
28,Strawberry Milkshake,120 ₺,,Signature Drinks,
29,V60,120 ₺,,Craft Coffee,
30,Mango Milkshake,120 ₺,,Signature Drinks,
31,Mini Pancakes,120 ₺,,Sweet Pairings,
32,Nutella Milkshake,120 ₺,,Signature Drinks,
33,Rasberry Frozen,120 ₺,,Signature Drinks,
35,Green Apple Frozen,120 ₺,,Signature Drinks,
37,Orange Espresso,120 ₺,,Craft Coffee,
38,Ice Mocha,120 ₺,,Craft Coffee,
39,Ice Americano,120 ₺,,Craft Coffee,
,Fredo Espresso,120 ₺,,Craft Coffee,
